,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WH2_2_1/3.json,,88.1081,76,148,0.0MB,,83.965,76,148,0.0MB,,Segmentation Fault,Segmentation Fault,Segmentation Fault,Segmentation Fault,,Segmentation Fault,Segmentation Fault,Segmentation Fault,Segmentation Fault,,82.5874,76,148,0.0MB,,,
,WH2_2_1/4.json,,0.421708,11,31,0.0MB,,0.505539,11,31,0.0MB,,8.08399,11,31,0.0MB,,0.840708,11,31,0.0MB,,0.386785,11,31,0.0MB,,,
,WH2_2_1/5.json,,49.1734,18,64,0.0MB,,477.91,18,64,8.1MB,,125.235,18,64,8.0MB,,220.334,18,64,8.2MB,,79.4217,18,64,0.0MB,,,
,WH2_2_1/6.json,,1449.23,45,152,8.4MB,,1406.9,45,152,8.5MB,,Segmentation Fault,Segmentation Fault,Segmentation Fault,Segmentation Fault,,Segmentation Fault,Segmentation Fault,Segmentation Fault,Segmentation Fault,,2557.26,45,152,8.9MB,,,
,WH2_2_1/7.json,,Timeout 10m,Timeout 10m,Timeout 10m,231.9MB,,Timeout 10m,Timeout 10m,Timeout 10m,230.8MB,,Segmentation Fault,Segmentation Fault,Segmentation Fault,Segmentation Fault,,Segmentation Fault,Segmentation Fault,Segmentation Fault,Segmentation Fault,,Timeout 10m,Timeout 10m,Timeout 10m,8.1MB,,,
,WH2_2_1/8.json,,Timeout 10m,Timeout 10m,Timeout 10m,523.5MB,,Timeout 10m,Timeout 10m,Timeout 10m,399.7MB,,Timeout 10m,Timeout 10m,Timeout 10m,47.0MB,,Timeout 10m,Timeout 10m,Timeout 10m,40.6MB,,Timeout 10m,Timeout 10m,Timeout 10m,61.4MB,,,
,WH2_2_1/9.json,,Timeout 10m,Timeout 10m,Timeout 10m,355.3MB,,Timeout 10m,Timeout 10m,Timeout 10m,356.9MB,,Timeout 10m,Timeout 10m,Timeout 10m,91.8MB,,Timeout 10m,Timeout 10m,Timeout 10m,146.8MB,,Timeout 10m,Timeout 10m,Timeout 10m,41.8MB,,,
,WH2_2_1/10.json,,Timeout 10m,Timeout 10m,Timeout 10m,192.5MB,,Timeout 10m,Timeout 10m,Timeout 10m,191.5MB,,Timeout 10m,Timeout 10m,Timeout 10m,44.6MB,,Timeout 10m,Timeout 10m,Timeout 10m,46.2MB,,Timeout 10m,Timeout 10m,Timeout 10m,85.0MB,,,
,WH2_2_1/11.json,,Timeout 10m,Timeout 10m,Timeout 10m,243.4MB,,Timeout 10m,Timeout 10m,Timeout 10m,241.2MB,,Segmentation Fault,Segmentation Fault,Segmentation Fault,Segmentation Fault,,Segmentation Fault,Segmentation Fault,Segmentation Fault,Segmentation Fault,,Timeout 10m,Timeout 10m,Timeout 10m,48.9MB,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WH2_2_2/0.json,,21.4414,16,26,0.0MB,,27.27,16,26,0.0MB,,27.5231,16,26,0.0MB,,49.8304,16,26,0.0MB,,21.2905,16,26,0.0MB,,,
,WH2_2_2/1.json,,0.216321,10,17,0.0MB,,0.30594,10,17,0.0MB,,3.17115,10,17,0.0MB,,0.42026,10,17,0.0MB,,0.234695,10,17,0.0MB,,,
,WH2_2_2/2.json,,342.201,46,92,8.0MB,,317.833,46,92,7.9MB,,Solution is not valid,Solution is not valid,Solution is not valid,Solution is not valid,,Solution is not valid,Solution is not valid,Solution is not valid,Solution is not valid,,309.185,46,92,8.0MB,,,
,WH2_2_2/3.json,,Timeout 10m,Timeout 10m,Timeout 10m,282.3MB,,Timeout 10m,Timeout 10m,Timeout 10m,280.0MB,,Segmentation Fault,Segmentation Fault,Segmentation Fault,Segmentation Fault,,Segmentation Fault,Segmentation Fault,Segmentation Fault,Segmentation Fault,,Timeout 10m,Timeout 10m,Timeout 10m,286.8MB,,,
,WH2_2_2/4.json,,274.067,21,61,7.9MB,,318.598,21,61,8.0MB,,848.08,22,60,9.1MB,,1535.34,22,60,9.5MB,,423.925,21,61,8.1MB,,,
,WH2_2_2/5.json,,5453.86,19,68,12.6MB,,5448.49,19,68,12.8MB,,5961.46,19,68,14.2MB,,12071.7,19,68,14.6MB,,5453.86,19,68,26.4MB,,,
,WH2_2_2/6.json,,Timeout 10m,Timeout 10m,Timeout 10m,262.6MB,,Timeout 10m,Timeout 10m,Timeout 10m,261.2MB,,Timeout 10m,Timeout 10m,Timeout 10m,61.5MB,,Timeout 10m,Timeout 10m,Timeout 10m,62.4MB,,Timeout 10m,Timeout 10m,Timeout 10m,129.5MB,,,
,WH2_2_2/7.json,,Timeout 10m,Timeout 10m,Timeout 10m,264.0MB,,Timeout 10m,Timeout 10m,Timeout 10m,264.0MB,,Timeout 10m,Timeout 10m,Timeout 10m,131.9MB,,Timeout 10m,Timeout 10m,Timeout 10m,131.9MB,,Timeout 10m,Timeout 10m,Timeout 10m,261.6MB,,,
,WH2_2_2/8.json,,Timeout 10m,Timeout 10m,Timeout 10m,699.3MB,,Timeout 10m,Timeout 10m,Timeout 10m,698.4MB,,Timeout 10m,Timeout 10m,Timeout 10m,118.2MB,,Timeout 10m,Timeout 10m,Timeout 10m,71.8MB,,Timeout 10m,Timeout 10m,Timeout 10m,78.8MB,,,
,WH2_2_2/9.json,,Timeout 10m,Timeout 10m,Timeout 10m,434.3MB,,Timeout 10m,Timeout 10m,Timeout 10m,433.5MB,,Timeout 10m,Timeout 10m,Timeout 10m,108.6MB,,Timeout 10m,Timeout 10m,Timeout 10m,85.6MB,,Timeout 10m,Timeout 10m,Timeout 10m,2016.3MB,,,
,WH2_2_2/10.json,,Timeout 10m,Timeout 10m,Timeout 10m,323.4MB,,Timeout 10m,Timeout 10m,Timeout 10m,323.4MB,,Timeout 10m,Timeout 10m,Timeout 10m,96.2MB,,Timeout 10m,Timeout 10m,Timeout 10m,86.6MB,,Timeout 10m,Timeout 10m,Timeout 10m,1624.3MB,,,
,WH2_2_2/11.json,,Timeout 10m,Timeout 10m,Timeout 10m,303.9MB,,Timeout 10m,Timeout 10m,Timeout 10m,304.4MB,,Segmentation Fault,Segmentation Fault,Segmentation Fault,Segmentation Fault,,Segmentation Fault,Segmentation Fault,Segmentation Fault,Segmentation Fault,,Timeout 10m,Timeout 10m,Timeout 10m,239.0MB,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WH12/0.json,,1.83087,36,48,16.0MB,,1.87053,36,48,15.8MB,,56.924,36,48,15.8MB,,1.77261,36,48,13.9MB,,1.53955,36,48,13.9MB,,,
,WH12/1.json,,341.693,62,108,15.9MB,,6.41337,61,109,13.8MB,,302.511,60,106,16.1MB,,607.044,60,106,16.2MB,,238.636,62,108,16.0MB,,,
,WH12/2.json,,8.85025,160,272,13.8MB,,9.17498,160,272,14.0MB,,1372.25,160,272,15.5MB,,9.00765,160,272,15.6MB,,9.18191,160,272,14.0MB,,,
,WH12/3.json,,3798.15,280,514,15.6MB,,Error,Error,Error,Error,,7392.02,270,507,17.1MB,,14972.9,270,507,23.1MB,,10736.7,270,511,15.9MB,,,
,WH12/4.json,,3.16233,33,88,13.9MB,,3.22149,33,88,15.8MB,,95.2145,33,88,15.9MB,,3.64789,33,88,16.1MB,,3.39544,33,88,15.8MB,,,
,WH12/5.json,,336.345,52,157,15.9MB,,11.5457,54,176,15.4MB,,368.826,52,175,16.1MB,,453.811,53,175,16.2MB,,536.345,52,157,16.7MB,,,
,WH12/6.json,,Timeout 10m,Timeout 10m,Timeout 10m,22.7MB,,Error,Error,Error,Error,,Timeout 10m,Timeout 10m,Timeout 10m,125.5MB,,Timeout 10m,Timeout 10m,Timeout 10m,130.3MB,,Timeout 10m,Timeout 10m,Timeout 10m,22.7MB,,,
,WH12/7.json,,6871.32,297,1075,15.9MB,,Error,Error,Error,Error,,10363.4,288,1060,15.9MB,,19851.1,288,1060,17.9MB,,9234.24,297,1075,17.9MB,,,
,WH12/8.json,,339.573,45,190,15.9MB,,10.486,45,190,15.5MB,,270.529,45,188,16.0MB,,156.767,45,188,15.9MB,,540.132,45,190,18.9MB,,,
,WH12/9.json,,Timeout 10m,Timeout 10m,Timeout 10m,38.3MB,,Error,Error,Error,Error,,Timeout 10m,Timeout 10m,Timeout 10m,63.9MB,,Timeout 10m,Timeout 10m,Timeout 10m,74.5MB,,Timeout 10m,Timeout 10m,Timeout 10m,39.3MB,,,
,WH12/10.json,,Timeout 10m,Timeout 10m,Timeout 10m,21.9MB,,Error,Error,Error,Error,,Timeout 10m,Timeout 10m,Timeout 10m,83.4MB,,Timeout 10m,Timeout 10m,Timeout 10m,98.8MB,,Timeout 10m,Timeout 10m,Timeout 10m,41.5MB,,,
,WH12/11.json,,Timeout 10m,Timeout 10m,Timeout 10m,20.4MB,,Error,Error,Error,Error,,Timeout 10m,Timeout 10m,Timeout 10m,114.8MB,,Timeout 10m,Timeout 10m,Timeout 10m,136.9MB,,Timeout 10m,Timeout 10m,Timeout 10m,21.5MB,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Totale,108,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CBS,ICR,ICTS,ICTS+ID,XSTAR,,,,,,,,,,,,,,,,,,,,,,,
,# Solutions found,57,42,53,51,55,,,,,,,,,,,,,,,,,,,,,,,
,# Timeout,51,40,41,43,53,,,,,,,,,,,,,,,,,,,,,,,
,# Segmentation Fault,0,0,12,12,0,,,,,,,,,,,,,,,,,,,,,,,
,# Error,0,26,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
,# Solution is not valid,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,
,# Not Solution,51,66,55,57,53,,,,,,,,,,,,,,,,,,,,,,,
,# Solution / # Not solution,"1,12","0,64","0,96","0,89","1,04",,Media soluzioni,,,,,,,,,,,,,,,,,,,,,
,Total MB,"10.435,30","10.610,60","5.310,10","5.254,00","13.087,40",,,,,,,,,,,,,,,,,,,,,,,
,Total MB / Not Error,"96,62","129,40","56,49","55,89","121,18",,Totale MB sulle soluzioni che non sono andate in errore,,,,,,,,,,,,,,,,,,,,,
,Total s,"31.719,35","24.232,57","26.528,93","26.089,97","32.590,92",,Totale s contando i Timeout (600s),,,,,,,,,,,,,,,,,,,,,
,Total s / Not Error,"293,70","295,52","282,22","277,55","301,77",,Media di secondi per soluzione (inclusi i timeout),,,,,,,,,,,,,,,,,,,,,
,Total s w/o Timeout,"1.119,35","232,57","1.928,93","289,97","790,92",,Totale s solo delle soluzioni,,,,,,,,,,,,,,,,,,,,,
,Total s w/o Timeout / # Solution,"19,64","5,54","36,39","5,69","14,38",,Media di secondi per soluzione,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# Number of solution / Tempi (ms),CBS,ICR,ICTS,ICTS+ID,XSTAR,VIRTUAL BEST,,,,,,,,,,,,,,,,,,,,,,
,1,"0,216321","0,280855","3,01652","0,393931","0,198951","0,198951",,,,,,,,,,,,,,,,,,,,,,
,2,"0,457864","0,581412","6,18767","0,814191","0,433646","0,433646",,,,,,,,,,,,,,,,,,,,,,
,3,"0,794432","0,887352","11,89232","1,307195","0,669127","0,669127",,,,,,,,,,,,,,,,,,,,,,
,4,"1,202872","1,195605","18,40613","1,851493","0,911368","0,911368",,,,,,,,,,,,,,,,,,,,,,
,5,"1,624580","1,701144","25,77392","2,609411","1,298153","1,298153",,,,,,,,,,,,,,,,,,,,,,
,6,"2,055238","2,409187","33,85791","3,441775","1,73918","1,739180",,,,,,,,,,,,,,,,,,,,,,
,7,"2,774719","3,129747","43,48371","4,279235","2,277746","2,277746",,,,,,,,,,,,,,,,,,,,,,
,8,"3,555981","3,913366","53,59251","5,119943","2,931033","2,931033",,,,,,,,,,,,,,,,,,,,,,
,9,"4,526835","4,811938","72,35601","6,399533","4,014303","4,014303",,,,,,,,,,,,,,,,,,,,,,
,10,"5,579925","5,962868","99,87911","7,771193","5,235193","5,235193",,,,,,,,,,,,,,,,,,,,,,
,11,"6,723435","7,280208","130,07791","9,219763","6,516923","6,516923",,,,,,,,,,,,,,,,,,,,,,
,12,"8,263175","8,910798","162,89321","10,877053","7,854143","7,854143",,,,,,,,,,,,,,,,,,,,,,
,13,"9,875085","10,734248","198,49631","12,649663","9,298633","9,298633",,,,,,,,,,,,,,,,,,,,,,
,14,"11,616485","12,594828","235,62061","14,623163","10,838183","10,838183",,,,,,,,,,,,,,,,,,,,,,
,15,"13,447355","14,465358","277,15961","16,862313","12,662063","12,662063",,,,,,,,,,,,,,,,,,,,,,
,16,"15,335145","16,935068","334,08361","19,693313","14,486883","14,486883",,,,,,,,,,,,,,,,,,,,,,
,17,"18,497475","20,156558","392,60271","23,341203","17,882323","17,882323",,,,,,,,,,,,,,,,,,,,,,
,18,"24,004185","25,913778","451,32791","29,159773","23,640113","23,640113",,,,,,,,,,,,,,,,,,,,,,
,19,"32,854435","32,327148","513,19111","38,167423","32,822023","32,327148",,,,,,,,,,,,,,,,,,,,,,
,20,"50,582235","41,502128","577,13501","62,118423","49,026123","41,502128",,,,,,,,,,,,,,,,,,,,,,
,21,"70,319635","51,988128","668,86651","94,905223","70,316623","51,988128",,,,,,,,,,,,,,,,,,,,,,
,22,"91,761035","63,533828","764,08101","144,735623","93,428923","63,533828",,,,,,,,,,,,,,,,,,,,,,
,23,"140,934435","78,220528","871,74901","216,027123","156,769723","78,220528",,,,,,,,,,,,,,,,,,,,,,
,24,"209,540835","96,405828","996,98401","354,235123","230,181323","96,405828",,,,,,,,,,,,,,,,,,,,,,
,25,"288,413535","115,781228","1130,37501","511,002123","308,011823","115,781228",,,,,,,,,,,,,,,,,,,,,,
,26,"371,842435","137,335428","1276,44301","697,216123","387,433523","137,335428",,,,,,,,,,,,,,,,,,,,,,
,27,"459,950535","159,777228","1435,61101","889,676123","470,020923","159,777228",,,,,,,,,,,,,,,,,,,,,,
,28,"561,599535","187,047228","1609,17001","1110,010123","569,986623","187,047228",,,,,,,,,,,,,,,,,,,,,,
,29,"680,211535","259,911028","1815,00201","1366,974123","678,539623","259,911028",,,,,,,,,,,,,,,,,,,,,,
,30,"852,017535","343,876028","2085,53101","1627,404123","841,391623","343,876028",,,,,,,,,,,,,,,,,,,,,,
,31,"1059,676535","579,958028","2388,04201","1907,558123","1049,623623","579,958028",,,,,,,,,,,,,,,,,,,,,,
,32,"1333,743535","897,791028","2756,86801","2245,447123","1288,259623","897,791028",,,,,,,,,,,,,,,,,,,,,,
,33,"1670,088535","1216,389028","3213,58001","2699,258123","1530,091623","1216,389028",,,,,,,,,,,,,,,,,,,,,,
,34,"2009,661535","1694,299028","4061,66001","3306,302123","1839,276623","1694,299028",,,,,,,,,,,,,,,,,,,,,,
,35,"2351,354535","2911,859028","5041,97701","4613,582123","2263,201623","2263,201623",,,,,,,,,,,,,,,,,,,,,,
,36,"2693,555535","4318,759028","6414,22701","6148,922123","2799,546623","2693,555535",,,,,,,,,,,,,,,,,,,,,,
,37,"3116,595535","7309,689028","8178,55701","8123,632123","3339,678623","3116,595535",,,,,,,,,,,,,,,,,,,,,,
,38,"3791,081535","12758,17903","10098,79701","11361,82212","4118,215623","3791,081535",,,,,,,,,,,,,,,,,,,,,,
,39,"4598,608535","19832,70903","12345,24701","14666,66212","4939,054623","4598,608535",,,,,,,,,,,,,,,,,,,,,,
,40,"6047,838535","48000,60903","14669,99701","19122,31212","6511,274623","6047,838535",,,,,,,,,,,,,,,,,,,,,,
,41,"7650,828535","123387,209","18888,37701","23819,24212","8250,344623","7650,828535",,,,,,,,,,,,,,,,,,,,,,
,42,"9391,808535","232571,209","23276,60701","29436,04212","10807,60462","9391,808535",,,,,,,,,,,,,,,,,,,,,,
,43,"11551,048535",,"29238,06701","38044,22212","13832,87462","11551,048535",,,,,,,,,,,,,,,,,,,,,,
,44,"14525,598535",,"35928,44701","50115,92212","17655,63462","14525,598535",,,,,,,,,,,,,,,,,,,,,,
,45,"18176,658535",,"43320,46701","63891,32212","23109,49462","18176,658535",,,,,,,,,,,,,,,,,,,,,,
,46,"21974,808535",,"52604,44701","78864,22212","32341,04462","21974,808535",,,,,,,,,,,,,,,,,,,,,,
,47,"27428,668535",,"62967,84701","98715,32212","41575,28462","27428,668535",,,,,,,,,,,,,,,,,,,,,,
,48,"34299,988535",,"77965,34701","120626,1221","50834,14462","34299,988535",,,,,,,,,,,,,,,,,,,,,,
,49,"41513,988535",,"94997,54701","145810,1221","61570,84462","41513,988535",,,,,,,,,,,,,,,,,,,,,,
,50,"50812,628535",,"442956,547","177452,1221","85562,54462","50812,628535",,,,,,,,,,,,,,,,,,,,,,
,51,"77109,828535",,"852501,547","289971,1221","114954,4446","77109,828535",,,,,,,,,,,,,,,,,,,,,,
,52,"104630,728535",,"1349237,547",,"190770,0446","104630,728535",,,,,,,,,,,,,,,,,,,,,,
,53,"178362,628535",,"1928931,547",,"297009,0446","178362,628535",,,,,,,,,,,,,,,,,,,,,,
,54,"261275,228535",,,,"517521,0446","261275,228535",,,,,,,,,,,,,,,,,,,,,,
,55,"455128,228535",,,,"790923,0446","455128,228535",,,,,,,,,,,,,,,,,,,,,,
,56,"655621,228535",,,,,"655621,228535",,,,,,,,,,,,,,,,,,,,,,
,57,"1119349,228535",,,,,"1119349,228535",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CBS,ICR,ICTS,ICTS+ID,XSTAR,,CBS,ICR,ICTS,ICTS+ID,XSTAR,,,,,,,,,,,,,,,,,
,WH1/0.json,1.14351,1.31734,58.5191,1.44857,1.33722,,"1,14","1,32","58,52","1,45","1,34",,1,,,,,,,,,,,,,,,
,WH1/1.json,1602.99,Error,2246.45,4455.65,1572.22,,"1.602,99","600.000,00","2.246,45","4.455,65","1.572,22",,2,,,,,,,,,,,,,,,
,WH1/2.json,5.50671,5.75722,456.712,5.81857,5.75779,,"5,51","5,76","456,71","5,82","5,76",,3,,,,,,,,,,,,,,,
,WH1/3.json,1740.98,14.6867,4388.23,8608.18,1739.07,,"1.740,98","14,69","4.388,23","8.608,18","1.739,07",,4,,,,,,,,,,,,,,,
